*DESCRIPTION
*1HR
*8HR
*24HR
*DMAX1HR
*DAILYMEAN
************DESCRIPTION************
"File Generated On:","3/5/2025"
"",""
"Annual Summary Report",""
"Pollutant: PM2.5",""
"Units: micrograms per cubic metre (µg/m3)",""
"Day: from midnight to midnight.",""
"All data reported in standard local time",""
" ",""
"Reporting Criteria for 1hr report:",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid measurements",""
"Annual average and standard deviation are reported if 50% of hours in year are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 8hr report:",""
"Running 8 hour averages are calculated with reporting hour being end hour (eg. 8pm = average of 1pm to 8pm)",""
"8 hour averages are valid if at least 6 of the 8 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 8-hour average",""
"Annual average and standard deviation are reported if 50% of running 8-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for 24hr report:",""
"Running 24 hour averages are calculated with reporting hour being end hour (eg. 8pm = 24 hour average from 9pm previous day to 8pm)",""
"24 hour averages are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% of the hours during the month have valid running 24-hour average",""
"Annual average and standard deviation are reported if 50% of running 24-hour averages are valid and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DMax1hr report:",""
"Daily max 1-hour only valid if at least 18 of 24 hours have valid data",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily 1-hr max",""
"Annual average and standard deviation are reported if 50% of days have valid daily 1-hr max and each quarter has at least 2 valid months",""
" ",""
"Reporting Criteria for DailyMean report:",""
"Daily means are valid if at least 18 of the 24 hours are valid",""
"  Minimum, Maximum and Percentiles are reported regardless of data completeness",""
"Monthly averages are reported if at least 50% days have a valid daily mean",""
"Annual average and standard deviation are reported if 50% of days have daily mean and each quarter has at least 2 valid months",""
************1HR************
"NAPS ID","City","P/T","Location","Latitude","Longitude","Elevation","ID","Minimum","10th Percentile","30th Percentile","50th Percentile","70th Percentile","80th Percentile","90th Percentile","95th Percentile","98th Percentile","99th Percentile","99.9th Percentile","Maximum","Percent Completeness","January","February","March","April","May","June","July","August","September","October","November","December","Mean","Standard Deviation","",""
"010102","St. John's","NL","354 Water Street","47.56037903","-52.71147156","7","1HR","0","1","3","4","6","7","9","12","15","18","40","111","82.94520548","3","4","6","6","4","4","6","4","","","6","6","5","4.236305773","",""
"010401","Mount Pearl","NL","Old Placentia Road","47.50513077","-52.79476166","135","1HR","0","1","3","4","6","7","9","10","13","15","30","57","99.12100457","6","6","6","6","3","2","4","4","4","4","5","6","5","3.466668098","",""
"010501","Grand Falls - Windsor","NL","Scott Avenue","48.92695999","-55.65966034","62","1HR","0","0","1","2","4","5","7","8","12","15","32","49","98.40182648","3","2","2","2","1","2","4","5","5","3","4","3","3","3.36918823","",""
"010602","Corner Brook","NL","Macpherson Ave","48.95223999","-57.92206955","100","1HR","0","2","4","5","7","8","11","14","18","21","40","67","98.81278539","6","7","7","7","7","6","8","5","5","5","5","5","6","4.251781933","",""
"010901","Burin","NL","18 Hwy 220 (Main St.)","47.09899139","-55.19852066","1","1HR","0","1","3","4","5","6","7","9","11","13","19","45","98.81278539","5","5","5","5","3","3","4","4","4","4","5","4","4","2.605489599","",""
"011002","Labrador City","NL","317 Hudson Drive","52.94548798","-66.91030884","558","1HR","0","0","0","2","3","4","5","7","10","13","23","36","94.70319635","4","2","1","1","2","1","3","2","2","3","3","4","2","2.750901822","",""
"020104","Charlottetown","PE","3 Brighton Road","46.23300171","-63.13666916","21","1HR","0","3","6","8","9","11","13","16","20","23","39","54","94.31506849","10","9","9","8","6","6","8","7","7","8","9","10","8","4.489562817","",""
"020301","Wellington","PE","40 Route 125 (Hackmatack Road)","46.4784317","-63.98762894","6","1HR","0","2","3","4","6","7","8","10","12","14","21","25","64.9543379","","","","","5","5","7","5","4","4","4","4","","","",""
"020401","Southampton","PE","2580 Route 313 (Cardigan Road)","46.38634872","-62.58272171","30","1HR","0","0","2","4","5","6","8","9","12","14","21","39","93.71004566","3","3","4","4","4","4","6","5","4","4","4","4","4","3.133782087","",""
"030113","Halifax","NS","1672 Granville Street","44.64710999","-63.5736618","28","1HR","0","2","3","5","6","7","9","10","13","15","20","36","99.37214612","5","4","5","4","4","5","7","6","5","4","5","5","5","2.949467773","",""
"030120","Dartmouth","NS","341 Cherrybrook Road","44.71979904","-63.48075867","68","1HR","0","2","3","4","5","6","8","9","12","13","17","24","97.47716895","5","6","6","4","3","4","7","5","4","4","4","4","5","2.591467527","",""
