"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-01","2026","01","01","","2.0","","-5.8","","-1.9","","19.9","","0.0","","","","","","4.1","","","","12","","43",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-02","2026","01","02","","0.7","","-13.1","","-6.2","","24.2","","0.0","","","","","","0.0","","1","","23","","67",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-03","2026","01","03","","-12.2","","-15.9","","-14.1","","32.1","","0.0","","","","","","0.0","","1","","25","","47",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-04","2026","01","04","","-13.5","","-17.2","","-15.3","","33.3","","0.0","","","","","","0.0","","2","","27","","32",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-05","2026","01","05","","-7.9","","-17.6","","-12.7","","30.7","","0.0","","","","","","0.7","","6","","32","","49",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-06","2026","01","06","","-1.5","","-17.3","","-9.4","","27.4","","0.0","","","","","","0.0","","6","","","","",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-07","2026","01","07","","1.1","","-3.0","","-0.9","","18.9","","0.0","","","","","","10.3","","5","","2","","42",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-08","2026","01","08","","-0.1","","-2.5","","-1.3","","19.3","","0.0","","","","","","2.3","","7","","1","","40",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-09","2026","01","09","","0.4","","-4.7","","-2.2","","20.2","","0.0","","","","","","1.8","","7","","16","","58",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-10","2026","01","10","","5.2","","-2.8","","1.2","","16.8","","0.0","","","","","","1.4","","7","","29","","70",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-11","2026","01","11","","0.2","","-2.7","","-1.3","","19.3","","0.0","","","","","","4.6","","5","","8","","31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-12","2026","01","12","","-0.4","","-7.3","","-3.9","","21.9","","0.0","","","","","","0.6","","6","","27","","57",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-13","2026","01","13","","0.8","","-7.8","","-3.5","","21.5","","0.0","","","","","","0.2","","6","","24","","31",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-14","2026","01","14","","6.0","","0.3","","3.1","","14.9","","0.0","","","","","","0.5","","6","","15","","46",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-15","2026","01","15","","7.4","","3.2","","5.3","","12.7","","0.0","","","","","","14.7","","4","","19","","36",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-16","2026","01","16","","4.5","","-9.8","","-2.7","","20.7","","0.0","","","","","","9.3","","0","","27","","72",""
"-63.17","46.34","HARRINGTON CDA CS","830P001","2026-01-17","2026","01","17","","1.8","","-10.5","","-4.3","","22.3","","0.0","","","","","","6.9","","0","","28","","33",""
