"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-01","2013","01","01","","0.0","","-12.2","","-6.1","","24.1","","0.0","","","M","","M","","M","26","","32","","41",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-02","2013","01","02","","-10.0","","-12.6","","-11.3","","29.3","","0.0","","","M","","M","1.8","","31","","34","","52",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-03","2013","01","03","","-6.6","","-12.3","","-9.5","","27.5","","0.0","","","M","","M","17.1","","30","","2","","35",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-04","2013","01","04","","-0.2","","-13.4","","-6.8","","24.8","","0.0","","","M","","M","2.2","","28","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-05","2013","01","05","","0.2","","-14.5","","-7.2","","25.2","","0.0","","","M","","M","27.7","","29","","32","","50",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-06","2013","01","06","","-1.9","","-16.5","","-9.2","","27.2","","0.0","","0.0","","","M","1.9","","27","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-07","2013","01","07","","-4.8","","-19.6","","-12.2","","30.2","","0.0","","","M","","M","","M","30","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-08","2013","01","08","","3.3","","-20.9","","-8.8","","26.8","","0.0","","","M","","M","","M","28","","26","","35",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-09","2013","01","09","","4.0","","-7.0","","-1.5","","19.5","","0.0","","","M","","M","","M","26","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-10","2013","01","10","","4.2","","-1.9","","1.2","","16.8","","0.0","","","M","","M","0.3","","23","","3","","59",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-11","2013","01","11","","1.5","","-5.0","","-1.8","","19.8","","0.0","","","M","","M","","M","20","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-12","2013","01","12","","6.1","","-4.7","","0.7","","17.3","","0.0","","","M","","M","","M","20","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-13","2013","01","13","","6.3","","-1.9","","2.2","","15.8","","0.0","","","M","","M","","M","20","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-14","2013","01","14","","9.5","","0.4","","5.0","","13.0","","0.0","","","M","","M","","M","13","","30","","33",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-15","2013","01","15","","2.0","","-3.9","","-1.0","","19.0","","0.0","","","M","","M","","M","6","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-16","2013","01","16","","-2.0","","-5.5","","-3.8","","21.8","","0.0","","","M","","M","8.0","","8","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-17","2013","01","17","","3.6","","-9.1","","-2.8","","20.8","","0.0","","","M","","M","","M","17","","32","","43",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-18","2013","01","18","","-9.1","","-16.7","","-12.9","","30.9","","0.0","","","M","","M","3.0","","14","","1","","33",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-19","2013","01","19","","2.5","","-16.9","","-7.2","","25.2","","0.0","","","M","","M","6.5","","17","","26","","37",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-20","2013","01","20","","9.9","","-1.1","","4.4","","13.6","","0.0","","","M","","M","","M","17","","25","","59",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-21","2013","01","21","","-1.1","","-10.9","","-6.0","","24.0","","0.0","","","M","","M","0.2","","10","","35","","52",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-22","2013","01","22","","-7.7","","-17.0","","-12.4","","30.4","","0.0","","","M","","M","3.8","","13","","7","","32",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-23","2013","01","23","","-12.8","","-17.1","","-15.0","","33.0","","0.0","","","M","","M","0.9","","15","","30","","37",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-24","2013","01","24","","-10.8","","-17.8","","-14.3","","32.3","","0.0","","","M","","M","1.1","","18","","33","","37",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-25","2013","01","25","","-8.6","","-16.9","","-12.8","","30.8","","0.0","","","M","","M","0.9","","21","","36","","54",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-26","2013","01","26","","-6.9","","-13.3","","-10.1","","28.1","","0.0","","","M","","M","0.2","","21","","1","","32",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-27","2013","01","27","","-8.1","","-12.7","","-10.4","","28.4","","0.0","","","M","","M","0.4","","22","","5","","35",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-28","2013","01","28","","-2.7","","-14.4","","-8.6","","26.6","","0.0","","","M","","M","0.3","","22","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-29","2013","01","29","","1.6","","-17.3","","-7.9","","25.9","","0.0","","","M","","M","","M","22","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-30","2013","01","30","","13.7","","-9.1","","2.3","","15.7","","0.0","","","M","","M","","M","22","","26","","65",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-01-31","2013","01","31","","14.0","","0.5","","7.3","","10.7","","0.0","","","M","","M","10.4","","","","21","","85",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-01","2013","02","01","","0.5","","-9.0","","-4.3","","22.3","","0.0","","","M","","M","","M","","","31","","50",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-02","2013","02","02","","-5.5","","-10.8","","-8.2","","26.2","","0.0","","","M","","M","0.5","","1","","30","","32",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-03","2013","02","03","","0.0","","-7.6","","-3.8","","21.8","","0.0","","","M","","M","2.6","","2","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-04","2013","02","04","","-3.1","","-8.5","","-5.8","","23.8","","0.0","","","M","","M","1.1","","4","","30","","56",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-05","2013","02","05","","-5.7","","-14.2","","-10.0","","28.0","","0.0","","","M","","M","0.2","","6","","30","","41",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-06","2013","02","06","","-1.9","","-15.1","","-8.5","","26.5","","0.0","","","M","","M","1.1","","6","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-07","2013","02","07","","-8.1","","-20.9","","-14.5","","32.5","","0.0","","","M","","M","0.2","","8","","35","","52",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-08","2013","02","08","","-10.5","","-21.4","","-16.0","","34.0","","0.0","","","M","","M","9.4","","11","","7","","57",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-09","2013","02","09","","-4.5","","-10.7","","-7.6","","25.6","","0.0","","","M","","M","26.4","","37","","8","","72",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-10","2013","02","10","","-2.4","","-11.4","","-6.9","","24.9","","0.0","","","M","","M","1.7","","53","","36","","44",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-11","2013","02","11","","2.8","","-13.7","","-5.5","","23.5","","0.0","","","M","","M","12.3","","47","","16","","37",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-12","2013","02","12","","4.0","","0.8","","2.4","","15.6","","0.0","","","M","","M","1.4","","42","","30","","37",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-13","2013","02","13","","3.2","","-2.6","","0.3","","17.7","","0.0","","","M","","M","0.2","","35","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-14","2013","02","14","","4.1","","-4.3","","-0.1","","18.1","","0.0","","","M","","M","","M","31","","","","<31",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-15","2013","02","15","","5.9","","-7.7","","-0.9","","18.9","","0.0","","","M","","M","0.2","","29","","24","","32",""
"-65.20","44.40","KEJIMKUJIK 1","8202592","2013-02-16","2013","02","16","","8.3","","-0.9","","3.7","","14.3","","0.0","","","M","","M","5.4","","29","","17","","35",""
